base_seed,v_mean_d28,v_std_d28,v_spread_d28,v_mean_d24,v_std_d24,v_spread_d24,v_mean_d20,v_std_d20,v_spread_d20,v_mean_d16,v_std_d16,v_spread_d16,v_mean_d12,v_std_d12,v_spread_d12,v_mean_d8,v_std_d8,v_spread_d8,v_mean_d4,v_std_d4,v_spread_d4,v_mean_d1,v_std_d1,v_spread_d1
0,41.333333333333336,0.0,2.0,30.013676592681133,8.961941032402034,3.3518664823227304,22.542229203591575,10.597560383585746,3.361180188041608,17.978302395197005,10.476192536825051,2.635135211794605,12.72446804765841,10.519525209306076,2.4350012874384337,6.689606553684133,10.197375283277887,2.8345310558809613,1.4942010996495612,7.84566800737413,2.1290790455776603,1.4942010996495612,7.845668007374129,2.1290790455776603
1,14.0,0.0,48.0,9.449972406181013,9.570101213669737,46.3375,10.257317806437248,12.211048171963183,33.89949974517851,8.88441428747345,12.438381922956424,21.04542915346807,7.4175367791875075,12.527706476264951,9.962595195765621,4.6031471922616545,11.45253891527325,3.1419255604733127,1.728535484370779,8.09481821696385,0.8527468697160339,1.728535484370779,8.094818216963848,0.8527468697160339
2,14.0,0.0,48.0,5.187051419495732,8.072366849841835,53.722410958904106,5.542415328218131,11.58659195634879,37.45456310310676,3.7073333320269644,12.299499884114303,30.6919496092911,1.4249645927616692,11.848016457732369,24.828877324014965,0.06889348101716693,10.863774068418076,15.691350623569193,-0.15521150906024803,8.047199078453346,5.454766155784222,-0.15521150906024803,8.047199078453344,5.454766155784222
3,17.333333333333332,0.0,50.0,9.798499069846104,11.925953036512395,42.4787037037037,10.523663118552472,12.85782167281752,31.118617985333444,8.585315424622706,12.986390162759248,24.832113742947136,5.91032169287395,12.170497903945831,19.940181840567263,2.9867410436733173,11.043400401596843,11.712348433832853,0.6971228178972669,8.186017846841745,2.908754813457894,0.6971228178972669,8.186017846841748,2.908754813457894
4,-4.0,0.0,44.0,-13.811837668658695,12.17693920368358,11.46184353818897,-14.373691326108437,13.10965887095543,10.83044313957418,-10.199718008769066,12.799909381006897,9.976483289408193,-7.141698244799662,12.153844942642266,6.897454551137788,-4.063540088217454,10.943616871625364,3.835940604015073,-1.214412270681605,8.009408763784892,0.893719121542749,-1.214412270681605,8.009408763784895,0.893719121542749
5,5.333333333333333,0.0,44.0,-10.971783069251423,12.386155645891654,29.33709834469328,-12.506300777569578,11.673101223472173,26.998354777179745,-10.865618184249103,12.022939661613046,17.175357000751927,-8.434079806077298,10.753134737812838,11.320337241364545,-5.257771090859728,9.674030198982484,8.204418216562093,-2.10224982552517,7.550284120894648,4.133663381192684,-2.10224982552517,7.5502841208946485,4.133663381192684
6,5.333333333333333,0.0,68.0,-4.132214292008108,14.725865268423876,42.85897435897436,-5.949132593229252,12.128559544502592,32.07766621590102,-5.612908237179854,11.128052931521724,22.319431551990345,-4.508064941086003,10.033521552519405,15.785830351463314,-2.6708054905030583,9.578438980972619,9.513781453068393,-0.9711996285715223,7.40840122265845,3.353200864105353,-0.9711996285715223,7.408401222658454,3.353200864105353
7,21.333333333333332,0.0,56.0,14.75161312117834,8.553756757887522,45.32674571805007,11.442071706993884,12.25650739080298,29.03070864559683,8.413955838195767,11.587959369796678,21.989051801692334,5.7945560876409905,11.202978607513975,15.725502487415572,3.5089775920952353,10.130182761197933,9.784068897106241,0.8942870817900707,7.681263872805794,4.565623687396707,0.8942870817900707,7.681263872805796,4.565623687396707
8,5.333333333333333,0.0,32.0,-1.6451622932471082,11.234325515878593,20.47994652406417,-0.9607364583028412,14.571618464118032,24.204823449198493,1.2164603419451427,14.518381810668169,17.650615760576784,1.4303200825004738,13.661430015673616,10.788000318489045,0.8309847340884883,11.83957354315663,5.206114105865952,0.1442353184417595,8.24811466217438,1.3892086413090765,0.1442353184417595,8.248114662174375,1.3892086413090765
9,11.333333333333334,0.0,56.0,-22.52735368956743,15.807845355927588,7.582061068702291,-12.862841479488997,15.08936888295338,16.659806790148426,-7.90117964947133,15.23649134021614,12.861556342260709,-3.73262428037495,13.649111525683464,10.894328185222893,-1.5310244368946677,10.919421769312562,7.01118462805494,-0.3953592777339785,7.723007888298163,2.0669792103907807,-0.3953592777339785,7.72300788829817,2.0669792103907807
10,-2.6666666666666665,0.0,30.0,-6.432732293697207,12.15752773043618,26.508284600389864,-6.523548892671292,14.503716355523864,21.6278589033445,-6.381020239097331,13.88235327896141,19.117789049813993,-4.673716286744389,12.731342860000908,14.210218657322088,-2.4834342007081207,11.442386501364844,7.255093448761903,-1.0328694231529216,8.09341779709989,1.8336942360757087,-1.0328694231529216,8.093417797099896,1.8336942360757087
11,-15.333333333333334,0.0,62.0,-14.913150024766395,7.019017041192138,47.950780048341024,-8.99688204015352,10.328028689914131,44.166757932742584,-4.413171218540174,11.341146684192156,35.95352469413536,-1.8599605107322408,11.167495761871082,25.40805771905,-0.9458263018439993,10.022032891555178,15.048607152306314,-0.14053219692552835,7.353979043063684,5.130803060534186,-0.14053219692552835,7.353979043063688,5.130803060534186
12,40.0,0.0,6.0,28.085467822415907,11.979410983750455,4.818072181525817,22.886762519458287,13.128360759478165,4.189036124988114,16.199558784514625,12.602429568937685,4.553947914262029,11.452652137811526,11.05347888439738,5.455725139690781,6.957711516890105,9.54844561788079,4.8588109271038755,1.9852654126285643,7.730684737345595,2.7723239170339,1.9852654126285643,7.7306847373455945,2.7723239170339
